Scientific Name,Common Name,Plant Type,URL,Spread,Soil Type,Sun/Shade Conditions,Image,Summary,Soil Moisture,Lep Count,Supported Leps
Collinsonia canadensis,Horse Balm,perennial ,https://mtcubacenter.org/plants/horse-balm/,3,"Clay, Sand","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Collinsonia_canadensis_1.jpg,"Horse balm is a 2-3� tall member of the mint family, possessing a square stem and large green, coarsely serrated aromatic leaves. It�s loosely arranged, pyramidal head of small, lemon-scented, pale yellow flowers appear in late summer. Not overly showy and primarily known for its historical use as a medicinal plant, it can provide bold texture in the garden. Horse balm performs best in moist, loamy soil in partial shade. It is most appropriate when scattered in the middle or rear of the woodland garden with companions such as Podophyllum peltatum, Arisaema triphyllum, Astilbe biternatum, Caulophyllum thalictroides, Actaea racemosa, Dryopteris goldiana, and Dryopteris intermedia.","average, moist ",4,
Coreopsis auriculata,Lobed Tickseed,perennial ,https://mtcubacenter.org/plants/lobed-tickseed/,3,Sand,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Coreopsis_auriculata_1.jpg,"Coreopsis auriculata is an easily grown stoloniferous perennial with 1-2�, golden-yellow, daisy-like flowers. Its handsome dark green foliage is evergreen, low growing, and each leaf is lobed at the base. Lobed tick seed grows best in consistently moist, acid to neutral soil and is intolerant of drought. Its compact habit and tendency to spread, but not aggressively, makes it a good groundcover choice. Plant Coreopsis auriculata in a lightly shaded woodland location or at the front of a shady border. The following plants make suitable companions: Cardamine diphylla, Silene virginica, Solidago caesia, Geranium maculatum, Chamaelirium luteum, Polystichum acrostichoides, and Allium tricoccum.","average, moist ",5,
Coreopsis grandiflora var. inclinata,Large Flower Tickseed,perennial ,https://mtcubacenter.org/plants/large-flower-tickseed/,3,Sand,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Coreopsis_grandiflora_var_inclinata_1.jpg,"An explosion of summer color makes this unusual form of tickseed a �must have� in the hot, sunny and dry portion of your garden. Large flower tickseed is a sprawling form of the perennial deciduous species. Bright yellow daisy-like flowers 1�-2� wide with yellow centers appear continuously from late spring until mid-autumn. Coreopsis grandiflora var. inclinata grows up to 1� tall and spreads up to 2� wide. It makes a very effective summer perennial groundcover for the sunny dry border edge or rock garden. It is an excellent companion for Liatris microcephala, Phemeranthus teretifolius, Opuntia humifusa, Silene virginica, Bigelowia nuttallii, Penstemon canescens and other drought loving plants.","average, dry ",5,
Coreopsis tripteris �Gold Standard�,Gold Standard Tall Tickseed,perennial ,https://mtcubacenter.org/plants/gold-standard-tall-tickseed/,3,Sand,"full-sun, part-sun ",https://mtcubacenter.org/wp-content/uploads/2021/03/Coreopsis-tripteris-_Gold-Standard_41334-960x700.jpg,"Coreopsis tripteris �Gold Standard� is a Mt. Cuba Center Introduction and part of the Mt. Cuba Collection�. Introduced in 2016 and commonly referred to as Gold Standard tall tickseed, this native perennial is a fantastic selection of the hardy and adaptable species Coreopsis tripteris. This cultivar originated from seed originally collected in Alabama and was selected for its shorter stature and sturdy stems. �Gold Standard� tall tickseed was included in Mt. Cuba Center�s Coreopsis trial and proved to be a top performer amongst many other well established and commercially available tickseeds. Coreopis tripteris �Gold Standard� blooms for two months from late summer into fall and is incredibly disease resistant. Great companion plants include Vernonia novaboracensis, Symphyotrichum laeve var. laeve, Schizachyrium scoparium, Echinacea purpurea, and Solidago speciosa.",medium ,5,
Cornus alternifolia,Pagoda Tree,tree ,https://mtcubacenter.org/plants/pagoda-tree/,30,"Clay, Loam, Sand","filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cornus_alternifolia_1-598x700.jpg,"With its unusual tiered branching structure, this underused member of the dogwood family will surely capture attention as a specimen tree in your landscape. Cornus alternifolia is a small, deciduous tree that will reach a height of 15-30� with an irregular, open habit. In late spring, small fragrant flowers are borne in flat-topped clusters, followed by berries that turn from green to blue-black as summer progresses. Interesting coral fruit stalks persist after the berries are gone. This tree grows best in a partly sunny location and prefers acidic soil that is cool and moist. Some excellent companions include Rhododendron prinophyllum, Leucothoe axillaris, Symphyotrichum cordifolium, and Solidago caesia.","average, dry, moist ",103,"Orgyia leucostigma, Antheraea polyphemus, Automeris io, Citheronia regalis, Xanthotype sospeta"
Cornus florida,Flowering Dogwood,tree ,https://mtcubacenter.org/plants/flowering-dogwood/,30,"Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cornus_florida_1.jpg,"Flowering Dogwood is one of our finest native trees and is attractive in all seasons. It has gorgeous white-bracted flowers in spring, red berries and leaves in the fall, followed by striking bark and branch structure all winter long. It typically develops an irregular rounded habit, reaching 20-30� tall and wide at maturity. It prefers well-drained acid soils and it makes an excellent specimen, understory tree or woodland edge tree as long as it receives shade during the heat of the day. It is an excellent companion for Calycanthus floridus, Rhododendron periclymenoides, Kalmia latifolia, Leucothoe fontanesiana, Viburnum acerifolium, Geranium maculatum, and Polystichum acrostichoides.","average, moist ",103,"Orgyia leucostigma, Antheraea polyphemus, Automeris io, Citheronia regalis, Xanthotype sospeta"
Croton alabamensis,Alabama Croton,shrub ,https://mtcubacenter.org/plants/alabama-croton/,10,"Clay, Loam","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Croton_alabamensis_1.jpg,"This rare, semi-evergreen southern shrub is worthy of wider use in gardens. Alabama croton is an irregular, multi-stemmed shrub that grows to 5? tall. Its bright green foliage with striking, silvery scales beneath is attractive in summer as well as in autumn when it develops pumpkin-orange foliage color. Croton alabamensis performs well in full sun to partial shade in well-drained to very dry soils. It is tolerant of slightly acidic to very alkaline soils. Alabama croton is a good companion when planted with Comptonia peregrina, Rhus aromatica, Clematis viorna, Coreopsis auriculata, Phlox divaricata, Schizachyrium scoparium, Amsonia ciliata var. tenuifolia, Coreopsis grandiflora, and Liatris microcephala.","average, dry ",6,
Cypripedium kentuckiense,Kentucky Lady�s Slipper,perennial ,https://mtcubacenter.org/plants/kentucky-ladys-slipper/,2,"Clay, Loam, Sand","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cypripedium_kentuckiense_1.jpg,"Kentucky lady�s slipper, with its unique pouch-like flower shape, is among the finest specimen plants for the garden. This herbaceous perennial orchid performs best in well-drained, organic, slightly alkaline soil in part shade and can form sizable multi-stemmed clumps. Its attractive, soft, fuzzy leaves are the perfect complement to the striking soft yellow to nearly white irregular flowers borne on tall flowering stalks nearly 2? tall. Cypripedium kentuckiense stands out beautifully when combined with Geum fragarioides, Tiarella cordifolia, Enemion biternatum, Prosartes lanuginosum, Dicentra eximia, Iris cristata, Trillium cuneatum, Asarum canadense, and Thalictrum dioicum.","average, moist ",1,
Cypripedium parviflorum var. pubescens,Large Yellow Lady�s Slipper,perennial ,https://mtcubacenter.org/plants/large-yellow-ladys-slipper/,2,Loam,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cypripedium_parviflorum_var_pubescens_1.jpg,"Few wildflowers can rival large yellow lady�s slipper in mid-May with is attractive pouch-like flowers. This perennial, multi-stemmed orchid bursts into bloom with 2-3? wide, bright yellow irregular flowers borne terminally on 18? tall leafy stems. Large yellow lady�s slipper performs best in partial shade with organic, moist, well-drained, and neutral to slightly alkaline soils. In woodlands with bright filtered light, it integrates nicely with Trillium luteum, Asarum canadense, Polystichum acrostichoides, Geum fragarioides, Phlox divaricata, Geranium maculatum, Dicentra eximia, Jeffersonia diphylla, and Hydrangea quercifolia.","average, moist ",1,
Diervilla sessilifolia,Southern Bush Honeysuckle,shrub ,https://mtcubacenter.org/plants/southern-bush-honeysuckle/,4,"Chalk, Clay, Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Diervilla_sessilifolia_1.jpg,"Southern bush honeysuckle plays a supporting role as one of the backbones of the garden. This easy maintenance, arching  and suckering shrub is ideal for use in stabilizing banks, as a groundcover or in difficult situations where other plants will not grow. Diervilla sessilifolia grows 3-5� tall. It tolerates dry soil and performs well in full sun to partial shade. Southern bush honeysuckle blooms in summer with yellow flowers set against medium green foliage and bronzy new growth that remains attractive the entire growing season. Use southern bush honeysuckle as the backdrop to perennials like Eurybia divaricata, Geranium maculatum, Uvularia grandiflora, Carex plantaginea, and Podophyllum peltatum.","average, dry, moist ",4,"Citheronia regalis, Sphinx kalmiae, Hemaris diffinis"
Erigeron pulchellus,Robin�s Plantain,perennial ,https://mtcubacenter.org/plants/robins-plantain/,2,"Chalk, Loam, Sand","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Erigeron_pulchellus_1.jpg,"Robin�s plantain is a little-known but very attractive slow-spreading herbaceous perennial worthy of wider use for spring flowering in the garden. White to lavender, 1-2� wide daisy-like flowers. The flowering stems emerge from 6-8� long basal leaves, growing to a height of 18-24�. Over time plants form dense masses and can be quite showy when flowering. Do not confuse this with other Erigerons which seed prolifically. Robin�s plantain performs well in part shade on well-drained to dry soils and is pH adaptable. In the garden, this plant combines nicely with Carex plantaginea, Polystichum acrostichoides, Packera aurea, and Geum fragarioides.","average, dry ",25,"Synchlora aerata, Leuconycta diphteroides, Hyles lineata"
Eryngium yuccifolium,Button Snake-Root,perennial ,https://mtcubacenter.org/plants/button-snake-root/,3,"Loam, Sand",full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Eryngium_yuccifolium_1.jpg,"The striking, creamy-white flower heads that resemble thistles and bluish-green sword-like foliage make button snake-root an excellent accent plant in the garden. In fact, the foliage looks very similar to the desert plant yucca. It is easily grown in full sun and adaptable to any soil type that is well-drained to dry. Allow the flower clusters, borne on 2-3� stems, to remain on the plants until October, then collect them for dried arrangements. Or, use them in the garden for winter interest. As an essential element in a meadow garden, button snake-root can be grown with softer textured plants such as Muhlenbergia capillaris, Eragrostis spectabilis, Andropogon virginicus, Amsonia ciliata, and Symphyotrichum oblongifolium.","average, dry ",3,
Eupatorium hyssopifolium,Hyssop-Leaf Thoroughwort,perennial ,https://mtcubacenter.org/plants/hyssop-leaf-thoroughwort/,3,"Chalk, Clay, Loam, Sand","full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eupatorium_hyssopifolium_1.jpg,"Hyssop-leaf thoroughwort is attractive both in bud and flower. This underused perennial is a perfect compliment to a grassy meadow. The buds show color for a few weeks before actually opening, producing clouds of tiny white flowers from late summer into autumn. These flowers are borne on top of the 1-3� tall stems. The very narrow leaves are whorled around the stem lending itself to a very finely textured plant. Eupatorium hyssopifolium grows in a variety of soil types but requires good drainage. It is extremely attractive blowing in the wind with grasses and perennials including Schizachyrium scoparium, Andropogon virginicus, Rudbeckia fulgida, Symphyotrichum leave, and Liatris spicata.",average ,38,"Synchlora aerata, Haploa clymene, Schizura concinna, Hypercompe scribonia"
Eurybia divaricata,White Wood Aster,perennial ,https://mtcubacenter.org/plants/white-wood-aster/,3,"Clay, Loam, Sand","filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eurybia_divaricata_1.jpg,"The delicate, airy clouds of white wood aster are a must-have for every fall garden. This lovely aster is among the first to bloom in late summer.  Small, white, daisy-like flowers with yellow centers that fade to red are borne atop dark green to black stems. This perennial groundcover grows 1�-2�� tall in filtered shade to full shade in neutral to slightly acidic soils. Eurybia divaricata is a vigorous grower and is a favorite for attracting wildlife. It is a good candidate for use on the woodland edge or in the naturalistic garden. White wood aster is especially attractive poking through other plants such as Polygonatum biflorum, Osmundastrum cinnamomeum, Solidago caesia, Tiarella cordifolia, and Asarum canadense.","average, dry, moist ",1,
Eurybia hemispherica,Prairie Wood Aster,perennial ,https://mtcubacenter.org/plants/prairie-wood-aster/,4,"Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eurybia_hemispherica_1.jpg,"Prairie wood aster has a strong presence in the summer garden with its showy masses of 1�� diameter violet-blue flowers with yellow centers, displayed on 2? tall wiry stems. It is suitable for the perennial border or in a meadow garden. The narrow 4�� long leaves of this aster are stiff, pointed and rough to the touch. Prairie wood aster grows well in full sun and dry to average, well drained soils. Plants tend to flop when sited in shade, a characteristic that could be used to advantage for a cascading effect on a sloping site with filtered shade. Some companions include Schizachyrium scoparium, Asclepias tuberosa, Rudbeckia fulgida, Euthamia caroliniana.","average, dry ",1,
Eurybia macrophylla,Large-Leaf Aster,perennial ,https://mtcubacenter.org/plants/large-leaf-aster/,4,"Loam, Sand","filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eurybia_macrophylla_1.jpg,"The large-leaf aster is an attractive late-bloomer in the garden. It flowers from late July to September. Clusters of delicate purple-white flowers with yellow centers bloom on 2-2.5� tall purplish stems. The large-leaf aster spreads by rhizomes and often forms dense thickets. The thick, hairy leaves are about 8� long and 6� wide, tapering to a point; each plant has about 1 to 4 leaves. Due to the large leaves and dense colonies, it is often used as a groundcover. The large-leaf aster thrives in dry to moist forest edges. Complementary plant companions include Gaultheria procumbens, Corylus cornuta, Oclemena acuminata, Aralia nudicaulis, and Lindera benzoin.",average ,1,
Eurybia schreberi,Schreber�s Aster,perennial ,https://mtcubacenter.org/plants/schrebers-aster/,4,"Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eurybia_schreberi_1.jpg,"The rhizomatous habit and large, heart-shaped, coarsely toothed basal leaves of Schreber�s aster make it an effective perennial groundcover for a sunny or shady location.  Numerous 1� wide, daisy-like flowers, arranged in flat-topped clusters, appear on 2-4� tall stems from mid to late summer.  Each flower head is comprised of bright yellow disk florets surrounded by white ray florets that turn pinkish as they age.  It is adaptable and although found in nature in moist, humus-rich soils, it will tolerate drier conditions. As an early flowering aster, incorporate it with perennials such as Echinacea purpurea and Asclepias tuberosa or on shadier sites with Dicentra eximia or Solidago flexicaulis.","average, dry, moist ",1,
Eurybia x herveyi,Hervey�s Aster,perennial ,https://mtcubacenter.org/plants/herveys-aster/,4,"Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eurybia_x_herveyi_1.jpg,"A vigorous rhizomatous growth habit and large basal rosettes of green foliage make Eurybia x herveyi a good candidate for use as a groundcover. Hervey�s aster is unusual because it is a naturally occurring hybrid between Eurybia spectabilis and Eurybia macrophylla. It displays 1� wide lavender flower heads, arranged in flat-topped clusters on 1-3� tall stems, in late summer to mid-fall. Recommended planting sites include naturalistic sunny to filtered shade settings in average loamy soil. Companions providing flower color at the same time include Solidago juncea, Doellingeria umbellata var. umbellata, Rudbeckia triloba, Scutellaria incana, Eupatorium hyssopifolium, and Coreopsis major.",average ,1,
Euthamia caroliniana,Slender Goldentop,perennial ,https://mtcubacenter.org/plants/slender-goldentop/,2,"Loam, Sand",full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Euthamia_caroliniana_1.jpg,"Slender goldentop is an attractive, underused deciduous perennial worthy of wider garden use. Its extremely fine texture and soft yellow flowers make this plant a very special element in the garden. Another great attribute of slender goldentop is that it is one of the last plants to bloom in late autumn. It spreads by underground roots at a rate closely related to the looseness of the soil and makes beautiful masses. Slender goldentop makes a striking clump in a perennial garden or a meadow planting with Schizachyrium scoparium, Andropogon virginicus, Muhlenbergia capillaris, Symphyotricum georgianum, Stokesia laevis, Rudbeckia fulgida, Liatris spicata, and Symphyotricum concolor.",average ,7,
Eutrochium maculatum �Gateway�,Gateway Spotted Joe-Pye Weed,perennial ,https://mtcubacenter.org/plants/gateway-spotted-joe-pye-weed/,4,"Chalk, Clay, Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eupatorium_maculatum_Gateway_1.jpg,"Bold and beautiful, Gateway spotted Joe-Pye weed is a statuesque perennial with enormous dusty-pink flowers that attracts multitudes of butterflies. It is more compact in habit than the species, reaching a height of 5-6�. This Eutrochium will thrive in sunny locations with moist, fertile soils. If you can resist cutting the flowers for the vase, the seedheads will extend the season of interest. It may be used as a background plant in the border, in meadows and is particularly lovely near the waters edge. Flowering from mid to late summer, �Gateway� combines well with tall native grasses as well as perennials such as Rudbeckia fulgida, Heliopsis helianthoides, Solidago odora, and Vernonia noveboracensis.","average, moist ",1,
Eutrochium purpureum �Big Umbrella�,Big Umbrella Sweet-Scented Joe-Pye Weed,perennial ,https://mtcubacenter.org/plants/big-umbrella-sweet-scented-joe-pye-weed/,4,"Chalk, Clay, Loam, Sand",full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Eupatorium_Big_Umbrella_1.jpg,"Big Umbrella sweet-scented Joe-Pye weed is a robust summer-blooming perennial that is highly attractive to butterflies. It produces large pink flower clusters atop 5-6� tall plants containing hundreds of tiny flowers. While naturally adapted to moist soils, it is quite adaptable to dry garden sites as well. This plant naturalizes nicely in meadows and woodland edges or can be used in the perennial border. �Big Umbrella� combines nicely with grasses such as Schizachyrium scoparium and Andropogon virginicus as well as perennials such as Vernonia noveboracensis, Rudbeckia fulgida, Rudbeckia lacinata, Coreopsis tripteris, Helianthus angustifolius, and Solidago odora.","average, moist ",1,
Gaultheria procumbens,Wintergreen,shrub ,https://mtcubacenter.org/plants/wintergreen/,1,"Clay, Loam, Sand","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Gaultheria_procumbens_1.jpg,"Wintergreen is an appealing evergreen groundcover with glossy oval leaves that emit a pleasant teaberry scent when crushed. It performs best in acidic, well drained to dry soils in filtered shade. Its white flowers tinged with pink in summer, produce attractive red berries that are effective throughout winter. Gaultheria procumbens grows in spreading patches expanding slowly by stolons, reaching 4-6� high at maturity. Wintergreen makes an excellent companion for Vaccinium pallidum, Gaylussacia brachycera, Mitchella repens and Kalmia latifolia. Adding Hypoxis hirsuta, Maianthemum canadense, and Ionactis linariifolius will provide a bloom display from spring through fall.","average, moist ",1,
Gaylussacia baccata,Black Huckleberry,shrub ,https://mtcubacenter.org/plants/black-huckleberry/,5,"Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Gaylussacia_baccata_1.jpg,"Black huckleberry is a deciduous colonial shrub, spreading slowly to form an informal twiggy mass. It is an underused and under-appreciated shrub for the naturalistic garden. The erect stems of black huckleberry grow 2-3� tall. In spring clusters of small bell-shaped pale pink to nearly red flowers are followed by blueberry-like fruit, �� in diameter. In autumn, foliage can become brilliant red. As a member of the Heath family it does best in well-drained dry, acidic soils. A few hours of sunlight each day makes for best growth and fall color. It makes an excellent companion with Vaccinium corymbosum, Rhododendron maximum, Kalmia latifolia, Pinus strobus, Gaultheria procumbens, Galax urceolata, and Goodyera repens.","average, dry ",39,"Limenitis arthemis, Antheraea polyphemus, Sphinx kalmiae, Sphinx gordius, Scopula limboundata"
Gentianopsis crinita,Fringed Gentian,"annual, biennial ",https://mtcubacenter.org/plants/fringed-gentian/,2.5,Sand,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Gentianopsis_crinita_1.jpg,"Fringed gentian, though a biennial, is considered by veteran gardeners as one of the most coveted and beautiful autumn-flowering plants with its eye-popping deep blue flowers that defy description. Once its requirements for moist, well-drained, neutral to alkaline soils, and sun to filtered shade are met, fringed gentian rewards the gardener with spectacular 2-3? long fringe-petaled flowers. This attractive 12-24? tall, multi-stemmed, biennial performs best when naturalized with Aquilegia canadensis, Carex eburnea, Trollius laxus, Woodsia obtusa and other low-competition plants where it can re-seed.","average, moist ",1,
Geranium maculatum,Wild Geranium,perennial ,https://mtcubacenter.org/plants/wild-geranium/,2,"Chalk, Clay, Loam, Sand","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Geranium_maculatum_1.jpg,"Wild geranium is a beautiful, easily grown perennial wildflower for use in the naturalistic woodland garden. The 1�� wide pink to magenta flowers are delicately colored and veined. They rise on a sturdy stem above attractively textured palmate leaves. This reliable, clump-forming perennial grows from 12-24� tall and 18� wide. It is easily established in moist, well-drained soils and spreads moderately by seed. To perform best wild geranium prefers partial shade to shade. In the shady border or woodland garden, it naturalizes well with Rhododendron calendulaceum, Phlox divaricata, Thalictrum dioicum, Osmunda claytonia, Diphylleia cymosa, Trillium spp., and Dryopteris intermedia.","average, moist ",24,Orgyia leucostigma
Geum fragarioides,Barren-Strawberry,perennial ,https://mtcubacenter.org/plants/barren-strawberry/,1,"Chalk, Clay, Loam, Sand","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Geum_fragarioides_1.jpg,"Barren-strawberry is a carefree, semi-evergreen groundcover with strawberry-like dark green foliage and delightful yellow flowers in early to mid-spring. It grows 3-6� tall, tolerates partial to light shade and a wide variety of soil types as long as they are well-drained. Geum fragarioides spreads slowly by rhizomes to make an excellent non-aggressive groundcover. Despite its delicate appearance, this plant is tough and has foliage that remains clean and attractive throughout the growing season. Barren-strawberry makes a nice companion for Neviusia alabamensis, Rhododendron periclymenoides, Viburnum acerifolium, Eurybia divaricata, Uvularia grandiflora, Geranium maculatum and Carex digitalis.","average, moist ",2,
Geum lobatum,Lobed Barren Strawberry,perennial ,https://mtcubacenter.org/plants/lobed-barren-strawberry/,1,"Chalk, Clay, Loam, Sand","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Geum_lobatum_1.jpg,"Geum lobatum is a rare herbaceous perennial that is surprisingly easy to grow. Because it is only grows 6-8? tall and spreads by runners, it makes an ideal groundcover. Lobed barren strawberry thrives in soils that are acidic, evenly-moist and well-drained. Although thriving in partial shade, it tolerates sunnier locations with adequate moisture. The evergreen foliage turns burgundy in the winter, followed in spring by fresh green leaves. Dainty, somewhat inconspicuous, petal-less yellow flowers emerge in early spring. Lobed barren strawberry makes a fine companion for Rhododendron vaseyi, Kalmia latifolia, Leucothoe fontanesiana, Carex flaccosperma and Hexastylis arifolia.","average, moist ",2,
Helianthus angustifolius,Swamp Sunflower,perennial ,https://mtcubacenter.org/plants/swamp-sunflower/,4,"Clay, Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Helianthus_angustifolius_1.jpg,"Swamp sunflower is a tall, striking plant for the perennial border or naturalistic meadow garden. Bright yellow, 2�� daisy-like flowers grow on 6� stems clothed in rich green needle-like leathery foliage. The clusters of flowers standout when viewed at a distance or close up. Helianthus angustifolius lives in a wide range of soil moisture conditions.  Swamp sunflower is special because it is among the last plants to bloom in late autumn. This sun loving perennial grows well among Schizachyrium scoparium, Andropogon virginicus, Symphyotrichum georgianum, Symphyotrichum oblongifolium, and Euthamia caroliniana.","average, dry, moist ",57,"Orgyia leucostigma, Pyrrharctia isabella, Hypercompe scribonia"
Houstonia caerulea,Quaker Ladies,perennial ,https://mtcubacenter.org/plants/quaker-ladies/,0.5,"Loam, Sand","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Houstonia_caerulea_1.jpg,"The masses of delicate diminutive flowers of Quaker ladies are a wondrous sight in early spring. The pale blue blossoms with yellow centers arise from dense clusters of tiny leaves and are held on slender stems up to 4? tall. Plants form mat-like clusters that create a carpet of delicate color suspended above the garden floor. Quaker ladies thrive on shady slopes and windswept garden edges where soils are well-drained and bare or moss-covered with minimal competition. Low competition plants such as Sanguinaria canadensis, Hexastylis species, Aquilegia canadensis, Dodecatheon meadia, Hypoxis hirsuta, and several fern species make attractive companions.","average, dry ",1,
Hydrangea arborescens,Wild Hydrangea,shrub ,https://mtcubacenter.org/plants/wild-hydrangea/,5,"Clay,  Loam, Sand","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Hydrangea_arborescens_1.jpg,"Wild hydrangea is an excellent multi-stemmed shrub that thrives in shade to part-sun conditions. This 3-5� tall deciduous shrub produces oval-rounded clusters of creamy white flowers that are 4-8� wide on the ends of its branches in mid-summer. After the flowers of Hydrangea arborescens fade, they make excellent dried flowers. Wild hydrangea can be used for massing or as an accent specimen in the garden. It can be maintained as a shrub that is cut back yearly to limit its size. Wild hydrangea performs best in soils that are evenly moist and slightly acidic. It is a good garden companion for Pachysandra procumbens, Hydrangea quercifolia, Kalmia latifolia, Rhododendron canescens, Polystichum acrostichoides and Spigelia marilandica.","average, moist ",9,
Hydrangea quercifolia,Oakleaf Hydrangea,shrub ,https://mtcubacenter.org/plants/oakleaf-hydrangea/,5,"Clay,  Loam, Sand","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Hydrangea_quercifolia_2.jpg,"Oakleaf hydrangea is one of the most useful native shrubs for the garden. With its unique deeply lobed, oak-like leaves, large white flower clusters, and attractive exfoliating bark, oakleaf hydrangea is impressive when massed or used as a specimen. Its mature size ranges from 6-10� tall with a similar spread. The 8-12� wide leaves turn red to deep purple in autumn and the flowering bracts persist throughout the season. It excels in regular garden soil in part shade to full sun and is drought-tolerant once established. Hydrangea quercifolia grows well with a variety of other companions including Heuchera villosa, Pachysandra procumbens, Itea virginica, Fothergilla major and Rhododendron flammeum.","average, dry ",9,
Hydrangea quercifolia �Pee Wee�,Pee Wee Oakleaf Hydrangea,shrub ,https://mtcubacenter.org/plants/pee-wee-oakleaf-hydrangea/,5,"Clay,  Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Hydrangea_quercifolia_Pee_Wee_1.jpg,"Pee Wee oakleaf hydrangea is an outstanding summer-blooming deciduous shrub for a partly shady to sunny garden. This charming diminutive cultivar fills a much needed multi-season role in smaller gardens, growing to a manageable 5? tall with attractive displays of small, white, cone-shaped panicles of flowers. In addition to summer flowering appeal, it also produces a pleasing combination of yellow, orange, red, and purple-colored foliage in November. In winter, the coarse branching structure and cinnamon-colored exfoliating bark of this cultivar provides lasting character. It combines well with Leucothoe fontanesiana, Geum fragarioides, Pachysandra procumbens, Geranium maculatum, and Carex laxiculmis �Hobb�.","average, dry ",9,
Hydrangea radiata,Silver-Leaf Hydrangea,shrub ,https://mtcubacenter.org/plants/silver-leaf-hydrangea/,5,"Clay,  Loam, Sand","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Hydrangea_radiata_1.jpg,"Silver-leaf hydrangea is a deciduous shrub with outstanding flowers and a unique foliage quality during the heat of summer. Virtually unknown until recently, Hydrangea radiata has gained popularity with its leaves that are a striking silver-white beneath. Additionally, it produces attractive creamy white, flat-topped flower clusters on the ends of its branches. Silver-leaf hydrangea performs very well in part-shade as a border shrub and in masses, reaching 4-7� tall at maturity. It combines well with Polystichum acrostichoides, Xanthorhiza simplicissima, Rhododendron maximum, Leucothoe fontanesiana, Clethra acuminata, Oxydendrum arboreum, and Rhododendron minus.","average, moist ",9,
Hypericum densiflorum,Bushy St. John�s Wort,shrub ,https://mtcubacenter.org/plants/bushy-st-johns-wort/,6,"Clay, Loam, Sand","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Hypericum_densiflorum_1.jpg,"Hypericum densiflorum is a great summer blooming shrub with beautiful finely-textured foliage during the growing season. A profusion of bright yellow flowers appear in summer and are effective for a couple of weeks. In autumn the delicate foliage of bushy St. John�s wort becomes a golden yellow. Additionally, smooth, bronze bark becomes visible as the shrub grows to its mature height of 6�. Bushy St. John�s wort performs well in the mixed perennial border or rock garden. It tolerates sun to filtered shade and is adaptable to a range of soil moisture conditions. This species works well with Liatris spp., Silphium terebinthinaceum, Callicarpa americana, Opuntia humifusa, and Rhododendron spp.","average, dry ",16,Synchlora aerata
