Scientific Name,Common Name,Plant Type,URL,Soil PH,Sun/Shade Conditions,Image,Summary,Soil Moisture
Symphyotrichum concolor,Eastern Silvery Aster,perennial ,https://mtcubacenter.org/plants/eastern-silvery-aster/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Symphyotrichum_concolor_1.jpg,"Eastern silvery aster is an unusual and adaptable late flowering perennial. Both the small leaves and the violet-blue flowers cling tightly to the long slender stems giving it a wand-like appearance. The oval leaves are downy white or silvery giving rise to its common name. It grows about 2-3’ tall in dry, sandy soils in the full sun yet seems to be adaptable. Planting closely together with native grasses such as Schizachyrium scoparium and Andropogon virginicus will help to hold the stems upright. Eastern silvery aster also combines nicely with Muhlenbergia capillaris, Helianthus angustifolius ‘Mellow Yellow’, Symphyotrichum georgianum and Euthamia caroliniana.","average, dry "
Chamaelirium luteum,Fairy Wand,perennial ,https://mtcubacenter.org/plants/fairy-wand/,acidic ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Chamaelirium_luteum_1.jpg,"After most early spring wildflowers have faded, fairy wand provides a delightful mid-late spring display. This herbaceous perennial produces white, spindle-shaped 8? long flower spikes borne terminally on long stems. It thrives in shade to partial shade of rich, moist, acidic woodlands. Unlike most perennials, fairy wand bears its female and male flowers on separate plants. In its female form, by far the most attractive, fairy wand can grow to 4? tall. It combines well with Polystichum acrostichoides, Chrysogonum virginianum, Adiantum pedatum, Actaea racemosa, Stewartia ovata, Maianthemum racemosum, Uvularia grandiflora, Viburnum acerifolium, and Thelypteris noveboracensis.","average, moist "
Trautvetteria caroliniensis,False Bugbane,perennial ,https://mtcubacenter.org/plants/false-bugbane/,acidic ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Trautvetteria_caroliniensis_MCC_2-900x700.jpg,"False bugbane is an under-appreciated herbaceous perennial gem for the garden with its attractive, creamy-white, delicate flowers and deeply cut foliage. Though it lacks true petals, false bugbane has numerous showy stamens in densely clustered heads, held above the attractive lobed basal leaves in June. False bugbane needs moist but well drained, acidic to neutrals soils to grow and flower properly. In the garden, it can be planted near a water feature as a late spring flowering specimen or in garden areas not subject to drought. After flowering only the basal leaves remain which can be inter-planted with Athyrium filix-femina, Gentiana clausa, Lobelia siphilitica, and Chelone obliqua.","moist, wet "
Astilbe biternata,False Goatsbeard,perennial ,https://mtcubacenter.org/plants/false-goatsbeard/,"acidic, adaptable ","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Astilbe_biternata_1.jpg,"False goatsbeard is the only species of Astilbe that is native to North America. In contrast to the more familiar species, it is a strikingly bold, coarse-textured, 3-6’ tall plant. Hundreds of small, creamy-white flowers are borne in feathery pyramidal panicles. These are held above large, divided leaves, which usually end with a three-lobed terminal leaflet. This last feature distinguishes false goatsbeard from true goatsbeard, Aruncus dioicus, which has an unlobed terminal leaflet. Provide rich moist soil in partial shade and use as a background plant. Companion plants providing contrasting textures include Asarum canadense, Carex plantaginea, and Heuchera americana.","average, moist "
Maianthemum racemosum,False Solomon’s Seal,perennial ,https://mtcubacenter.org/plants/false-solomons-seal/,adaptable ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Maianthemum_racemosum_1.jpg,"False solomon’s seal is an attractive herbaceous perennial with an upright arching form and creamy white, terminally-borne billowy flowers produced in spring. The flowers are followed in summer by glossy red berries that persist well into autumn. False solomon’s seal grows to 24” tall and has lanceolate, medium-green leaves that alternate along the stem and can become butter yellow in autumn. Maianthemum racemosum requires slightly acidic, average to moist organic soils and partial shade to perform best. It grows well with Phlox stolonifera, Podophyllum peltatum, Geranium maculatum, Dryopteris intermedia, Carex grayi and Asarum canadense.",average 
Silene virginica,Fire Pink,perennial ,https://mtcubacenter.org/plants/fire-pink/,acidic ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Silene_virginica_1.jpg,"With brilliant red flowers in clusters atop long slender leafless stems, fire pinks are a delightful invitation to hummingbirds. From a rosette of dark green foliage, the stems arise 1-1½’ tall to display the red, five-petaled flowers from mid-spring to early summer. This clump forming herbaceous perennial plant prefers well drained, acidic, poor nutrient soils in filtered shade to sun. Fire pink is ideal for a rock garden, woodland garden with low competition or rocky/sandy slopes. Plant in combination with Aquilegia canadensis, Viola pedata, Iris verna, Silene caroliniana, Sedum ternatum, and Phlox bifida.","average, dry, moist "
Solidago rugosa ‘Fireworks’,Fireworks Wrinkle-Leaf Goldenrod,perennial ,https://mtcubacenter.org/plants/fireworks-wrinkle-leaf-goldenrod/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Solidago_rugosa_Fireworks_1.jpg,"Solidago rugosa ‘Fireworks’ is a striking, clump-forming perennial with stiff lateral electric-yellow inflorescences in early to mid-autumn that are reminiscent of exploding fireworks. This tough and robust cultivar of wrinkle-leaf goldenrod performs very well in full sun and seasonally dry soils reaching 3-4’ tall. Fireworks wrinkle-leaf goldenrod attracts many pollinating insects when flowering. It blooms for up to two weeks and is an excellent perennial border or meadow companion for Andropogon virginicus, Schizachyrium scoparium, Symphyotrichum oblongifolium ‘Raydon’s Favorite’, and Symphyotrichum laeve var. laeve ‘Bluebird’.","average, dry "
Illicium floridanum,Florida Anise Tree,shrub ,https://mtcubacenter.org/plants/florida-anise-tree/,acidic ,"partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Illicium_floridanum_1.jpg,"This broad-leaved evergreen shrub is an underused gem poised for wider use in shady, dry gardens beneath evergreen trees like white pine (Pinus strobus). Florida anise tree is an upright-rounded shrub, reaching 10? tall, that requires shady conditions in our climate and acidic soils. It has a delightful mid-late spring flowering display, producing dark burgundy-red star-shaped flowers held above its fragrant evergreen foliage. Florida anise tree makes an excellent border, accent, or massing shrub, combining well with a variety of plants including Leucothoe fontanesiana, Matteuccia struthiopteris, Polystichum acrostichoides, Rhododendron minus, and Rhododendron maximum.","average, moist "
Rhododendron austrinum,Florida Flame Azalea,shrub ,https://mtcubacenter.org/plants/florida-azalea/,acidic ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Rhododendron_austrinum_1.jpg,"Rhododendron austrinum is among the showiest and easiest to grow of the native azaleas. In early May, this beautiful shrub has masses of exquisitely fragrant flowers in a color range from yellow to vibrant orange, often tinged with pink at the base. It excels in moist to sandy, well drained acidic soil and thrives in the summer heat growing as a multi-stemmed, upright rounded shrub reaching 10-15’ tall. Florida azalea is an excellent choice for the landscape, for use in the back of the border or alone as a specimen. It combines well in the garden with Rhododendron periclymenoides, Stylophorum diphyllum, Cornus florida, Dryopteris marginalis, Viburnum prunifolium, Callicarpa americana, and Geranium maculatum.","average, dry, moist "
Cornus florida,Flowering Dogwood,tree ,https://mtcubacenter.org/plants/flowering-dogwood/,"acidic, adaptable ","filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cornus_florida_1.jpg,"Flowering Dogwood is one of our finest native trees and is attractive in all seasons. It has gorgeous white-bracted flowers in spring, red berries and leaves in the fall, followed by striking bark and branch structure all winter long. It typically develops an irregular rounded habit, reaching 20-30’ tall and wide at maturity. It prefers well-drained acid soils and it makes an excellent specimen, understory tree or woodland edge tree as long as it receives shade during the heat of the day. It is an excellent companion for Calycanthus floridus, Rhododendron periclymenoides, Kalmia latifolia, Leucothoe fontanesiana, Viburnum acerifolium, Geranium maculatum, and Polystichum acrostichoides.","average, moist "
Tiarella cordifolia,Foamflower,perennial ,https://mtcubacenter.org/plants/foamflower/,adaptable ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Tiarella_cordifolia_1.jpg,"With attractive medium-green lobed leaves and 8-10” tall stems covered in tiny white to pinkish-white flowers, Tiarella cordifolia stands out in the garden as one the best native plants for use as a shade groundcover. Tolerant of a wide range of growing conditions from dry to moist but well-drained soils, this undemanding plant performs reliably in the garden. Foamflower is frequently used as a filler in woodland gardens because of its carefree nature and adaptability. It makes an excellent garden companion for Phlox stolonifera, Dicentra cucullaria, Athyrium filix-femina ssp. angustum, Adiantum pedatum, and Trillium grandiflorum.","average, dry, moist "
Pachysandra procumbens ‘Forest Green’,Forest Green Allegheny Pachysandra,perennial ,https://mtcubacenter.org/plants/forest-green-allegheny-pachysandra/,adaptable ,"filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Pachysandra_procumbens_Forest_Green_1.jpg,"A Mt. Cuba Center Plant Introduction.<em> Pachysandra procumbens</em> ‘Forest Green’ is an attractive native groundcover with its mottled, evergreen foliage and fragrant white bottlebrush-shaped flowers in early to mid-spring. The cultivar was selected for more smoothly undulating surface as well as larger and more uniform leaf whorls. It spreads slowly to form a dense carpet 8-10” tall. Forest Green Allegheny pachysandra performs well in a variety of soils from moist to dry and a range of soil pH as long as it is growing in partial to full shade. This woodland plant is also considered by many to be very deer and drought resistant. Pachysandra procumbens ‘Forest Green’ is a versatile plant that makes a lovely companion for many plants including Hydrangea quercifolia, Leucothoe fontanesiana, Rhododendron vaseyi, Phlox divaricata, and Polemonium reptans.
‘Forest Green’ was originally obtained from the teaching garden at Pennsylvania State University in 1952. It was observed and evaluated extensively and determined to be superior in terms over overall ornamental quality compared to the other five clones with which it was evaluated. Mt. Cuba Center introduced ‘Forest Green’ in 1992.","average, dry, moist "
Rhus aromatica,Fragrant Sumac,shrub ,https://mtcubacenter.org/plants/fragrant-sumac/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Rhus_aromatica_1.jpg,"Fragrant sumac is a deer resistant and adaptable deciduous shrub reaching 6-8’ tall with a spread of 6-10’. It has glossy dark green, trifoliate leaves and freely suckering stems that are quite aromatic. Small yellow flowers appear in early spring before the foliage emerges, followed by hairy red berries in fall. Fragrant sumac also develops stunning orange to red fall color. Plants thrive in dry to average, well-drained soil in full sun to filtered shade. Rhus aromatica is an excellent plant for stabilizing embankments or using as a mass in the garden. It is a good companion for Hydrangea quercifolia, Cornus florida, Schizachyrium scoparium, Comptonia peregrina and other drought tolerant plants.","average, dry "
Franklinia alatamaha,Franklinia,tree ,https://mtcubacenter.org/plants/franklinia/,acidic ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Franklinia_alatamaha_1.jpg,"Franklinia is a stunning small specimen tree for the garden, reaching 20-30’ tall at maturity. In late summer, it produces pure white, 3? flowers over several weeks, followed by excellent fall foliage ranging from yellow to orange, red, and purple. Named in honor of Benjamin Franklin, this tree has garnered attention because it was last seen in nature in 1803 and survives only because of plants originally propagated by John Bartram. Franklinia can be a challenge to grow because it requires precise moisture levels, well-drained, nutrient-rich acidic soils, and protection from environmental stress. Several excellent garden companions include Kalmia latifolia, Polystichum acrostichoides, Rhododendron atlanticum, Leucothoe axillaris, Zenobia pulverulenta, and Fothergilla gardenii.","average, moist "
Ruellia humilis,Fringe Leaf Wild Petunia,perennial ,https://mtcubacenter.org/plants/fringe-leaf-wild-petunia/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Ruellia_humilis_humilis_1.jpg,"Copious purple blooms adorn this dependable trailing perennial from summer to fall and provide an easy to grow filler for the perennial border or meadow. Reaching up to 1-2’ tall and preferring sun to filtered shade, Ru<em>ellia humilis </em>grows best in dry, well drained, and rocky soil; even so, it also thrives in moist, nutrient enriched soil. Fringe leaf wild petunia stands out when planted in masses, at the front of a border or naturalized in a meadow, informally weaving its leggy branches among other plants. Plant this charming plant with Schizachyrium scoparium, Eutrochium fistulosum, Coreopsis tripteris, Penstemon digitalis, Eragrostis spectabilis, or Echinacea pallida to accent and provide a skirt to other taller perennials.","average, dry, moist "
Chionanthus virginicus,Fringe Tree,"shrub, tree ",https://mtcubacenter.org/plants/fringe-tree/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Chionanthus_virginicus_1.jpg,"The sweetly scented and cascading white flower panicles of fringe tree offer a stunning contrast to the quiet green of its emerging spring leaves. The change of seasons brings golden yellow foliage colors that extend its garden interest into autumn. This multi-stemmed, deciduous shrub or small tree can be planted alone or as a conversation piece. It is tolerant of a wide range of conditions from moist to dry in partial shade to full sun as long as soils are neutral to acidic. Fringe tree is an excellent companion to Spigelia marilandica, Pachysandra procumbens, Philadelphus inodorus, Carpinus caroliniana, Clematis viorna, Scutellaria serrata, Rhododendron periclymenoides and Penstemon smallii.","average, dry, moist, wet "
Amsonia ciliata,Fringed Bluestar,perennial ,https://mtcubacenter.org/plants/fringed-bluestar/,adaptable ,"full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Amsonia_ciliata_1.jpg,"This long-lived, multi-stemmed perennial provides loose panicles of light blue, star-shaped flowers and a soft texture in the garden. The stems of fringed bluestar are clad in narrow, needle-like foliage and grow 2-3’ tall and as wide. This clump forming plant performs best in an average to dry, well-drained soil. Fringed blusestar also performs nicely in a woodland edge setting in partial shade as well as in dry open rock garden settings in full sun. For the best impact, fringed bluestar should be massed or grouped. It is a pleasing foliar companion with Pycnanthemum flexuosum, Stokesia laevis, Solidago sphacelata ‘Golden Fleece’, Hydrangea quercifolia, Delphinium exaltatum and various native grasses.","average, dry "
Gentianopsis crinita,Fringed Gentian,"annual, biennial ",https://mtcubacenter.org/plants/fringed-gentian/,"adaptable, alkaline ","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Gentianopsis_crinita_1.jpg,"Fringed gentian, though a biennial, is considered by veteran gardeners as one of the most coveted and beautiful autumn-flowering plants with its eye-popping deep blue flowers that defy description. Once its requirements for moist, well-drained, neutral to alkaline soils, and sun to filtered shade are met, fringed gentian rewards the gardener with spectacular 2-3? long fringe-petaled flowers. This attractive 12-24? tall, multi-stemmed, biennial performs best when naturalized with Aquilegia canadensis, Carex eburnea, Trollius laxus, Woodsia obtusa and other low-competition plants where it can re-seed.","average, moist "
Galax urceolata,Galax,perennial ,https://mtcubacenter.org/plants/galax/,acidic ,shade ,https://mtcubacenter.org/wp-content/uploads/2016/06/Galax_urceolata_1.jpg,"Galax is spectacular evergreen groundcover that is worthy of much greater landscape use. In spring flower spikes adorned with tiny white flowers rise above the 9-12” tall clusters of glossy dark green leaves. The glossy round leaves of galax often turn a beautiful burgundy color in winter. Galax grows best in cool, moist, well-drained acidic soil. It is slow to propagate and establish, but can eventually form a dense carpet in the woodland garden. Galax is very shade tolerant and grows well with Gaultheria procumbens, Vaccinium pallidum, Rhododendron maximun, Gaylussacia baccata, Kalmia latifolia, Uvularia species and Iris cristata.","average, dry "
Eutrochium maculatum ‘Gateway’,Gateway Spotted Joe-Pye Weed,perennial ,https://mtcubacenter.org/plants/gateway-spotted-joe-pye-weed/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eupatorium_maculatum_Gateway_1.jpg,"Bold and beautiful, Gateway spotted Joe-Pye weed is a statuesque perennial with enormous dusty-pink flowers that attracts multitudes of butterflies. It is more compact in habit than the species, reaching a height of 5-6’. This Eutrochium will thrive in sunny locations with moist, fertile soils. If you can resist cutting the flowers for the vase, the seedheads will extend the season of interest. It may be used as a background plant in the border, in meadows and is particularly lovely near the waters edge. Flowering from mid to late summer, ‘Gateway’ combines well with tall native grasses as well as perennials such as Rudbeckia fulgida, Heliopsis helianthoides, Solidago odora, and Vernonia noveboracensis.","average, moist "
Polygala paucifolia,Gay Wings,perennial ,https://mtcubacenter.org/plants/gay-wings/,acidic ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Polygala_paucifolia_1.jpg,"This woodland jewel is a slow growing, semi-evergreen groundcover that was coveted by Mt. Cuba Center’s founder, Mrs. Lammot du Pont Copeland. Gay wings is a rhizomatous perennial reaching only 4? tall, producing highly attractive rose-purple to pink tubular shaped “orchid-like” flowers with petals jutting out at a right angle to evoke the appearance of wings. It grows best in acidic, well-drained, organic soils without competition. It combines well with Pinus strobus, Hexastylis arifolia, Hexastylis shuttleworthii, Leucothoe fontanesiana, Uvularia sessilifolia, Clethra acuminata, and Stewartia ovata.","average, dry "
Symphyotrichum georgianum,Georgia Aster,perennial ,https://mtcubacenter.org/plants/georgia-aster/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Symphyotrichum_georgianum_1.jpg,"Georgia aster is a gorgeous late-blooming member of the aster family. Its unusually deep violet, narrow-petaled flowers are about 2” across, and bloom from October until frost.  The plant spreads by underground roots at a moderate rate forming a nice broad clump.  It is easily kept to the size you like with a sharp spade. Symphyotrichum georgianum grows well in average soil and can grow in full sun to filtered shade.  It grows beautifully in the perennial border or the native meadow garden with Schizachyrium scoparium, Andropogon virginicus, Muhlenbergia capillaris, Helianthus angustifolius ‘Mellow Yellow’, Rudbeckia fulgida, Euthamia caroliniana, and Symphyotrichum laeve var. laeve ‘Bluebird’.","average, dry "
Clinopodium georgianum,Georgia Wild Basil,perennial ,https://mtcubacenter.org/plants/georgia-wild-basil/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Clinopodium_georgianum_1.jpg,"There are few native plants with as great potential for the rock garden or green roof as Georgia wild basil. Clinopodium georgianum is a small woody perennial growing to 10” tall. The foliage has an attractive minty aroma when bruised and is cloaked in small purple flowers from mid-summer to autumn. On young plants the underside of the leaves have a distinctive purplish cast. When planted in dry, well-drained conditions it performs well without supplemental irrigation. Georgia wild basil is a beautiful plant that grows well with other rock garden plants like Bigelowia nuttallii, Ionactis linariifolius, Spigelia gentianoides, Liatris microcephala, and Coreopsis verticillata.","average, dry "
Panax quinquefolius,Ginseng,perennial ,https://mtcubacenter.org/plants/ginseng/,adaptable ,"partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Panax_quinquefolius_1.jpg,"Though rarely used in a garden setting and most commonly known for its medicinal value, ginseng adds an intriguing and natural look to a garden setting. Bright red berries in 1” diameter clusters that are relished by birds, are borne above the attractive palmately compound leaves. Preferring cool, moist areas, this plant does well in shade to partial shade. It is best suited for acidic to neutral soils that have high organic matter and nutrients. Ginseng reaches about 16” tall and makes a good choice to plant with Lindera benzoin, Viburnum acerifolium, Fagus grandifolia, Ilex opaca, Polystichum acrostichoides, Heuchera americana, Hydrangea arborescens, Cornus florida, Clintonia umbellulata, and Prosartes lanuginosa.",average 
Aruncus dioicus,Goatsbeard,perennial ,https://mtcubacenter.org/plants/goatsbeard/,"acidic, adaptable ","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Aruncus-dioicus-MCC-2418-960x700.jpg,"Goatsbeard is handsome, clump-forming plant, typically 3-4’ tall with attractive plume-like spikes of small creamy-white flowers held above bold, pinnately compound medium green leaves. Male and female flowers appear on separate plants. It is easily grown in average, humus-rich, well-drained soil in part shade. Use goatsbeard as a shrub-like background plant in the border, for screening, in moist areas along streams and ponds, or as a cut flower. Plant goatsbeard with other low maintenance perennials such as Asarum canadense, Spigelia marilandica, Adiantum pedatum, Trillium erectum, Polemonium reptans, Arisaema triphyllum and Mertensia virginica.","average, moist "
Coreopsis tripteris ‘Gold Standard’,Gold Standard Tall Tickseed,perennial ,https://mtcubacenter.org/plants/gold-standard-tall-tickseed/,adaptable ,"full-sun, part-sun ",https://mtcubacenter.org/wp-content/uploads/2021/03/Coreopsis-tripteris-_Gold-Standard_41334-960x700.jpg,"Coreopsis tripteris ‘Gold Standard’ is a Mt. Cuba Center Introduction and part of the Mt. Cuba Collection™. Introduced in 2016 and commonly referred to as Gold Standard tall tickseed, this native perennial is a fantastic selection of the hardy and adaptable species Coreopsis tripteris. This cultivar originated from seed originally collected in Alabama and was selected for its shorter stature and sturdy stems. ‘Gold Standard’ tall tickseed was included in Mt. Cuba Center’s Coreopsis trial and proved to be a top performer amongst many other well established and commercially available tickseeds. Coreopis tripteris ‘Gold Standard’ blooms for two months from late summer into fall and is incredibly disease resistant. Great companion plants include Vernonia novaboracensis, Symphyotrichum laeve var. laeve, Schizachyrium scoparium, Echinacea purpurea, and Solidago speciosa.",medium 
Zizia aurea,Golden Alexanders,perennial ,https://mtcubacenter.org/plants/golden-alexanders/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Zizia_aurea_1_1-900x700.jpg,"The flat-topped yellow umbels of golden Alexanders, consisting of up to 20 individual tiny flowers and similar in shape to Queen-Ann’s-lace, are the primary highlight of this carefree species. It is a rugged colonizing plant, with simple heart-shaped basal leaves and compound, deeply toothed leaflets on stems growing 2-2½’ tall. Zizia aurea is found in moist woodlands, meadows and thickets and is best suited to an informal setting in full sun to light shade in average, well-drained soil. Plant at the edge of a meadow with Erigeron pulchellus, Geranium maculatum, Phlox pilosa ssp. ozarkana, Solidago caesia, Amsonia tabernaemontana, and Packera aurea.","average, moist "
Solidago sphacelata ‘Golden Fleece’,Golden Fleece Autumn Goldenrod,perennial ,https://mtcubacenter.org/plants/golden-fleece-autumn-goldenrod/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/09/Solidago-sphacelata-Golden-Fleece-960x700.jpg,"Solidago sphacelata ‘Golden Fleece’ is a Mt. Cuba Center Introduction and part of the Mt. Cuba Collection™. Commonly refered to as Golden Fleece autumn goldenrod, this compact form of Solidago sphacelata was first introduced by Mt. Cuba Center in 1985. It is an adaptable perennial that will thrive in a wide variety of conditions, from full sun to part-shade and in average to dry soils. ‘Golden Fleece’ autumn goldenrod can be successfully used as an edging or container plant in formal spaces and cottage gardens or incorporated in naturalistic settings as a specimen or groundcover. Condensed flower spikes produce blooms from mid-September to October that are frequented by late season pollinators. Great garden companions for Solidago sphacelata ‘Golden Fleece’ Include Symphiotrichum novae-angliae, Schizachyrium scoparium, Vernonia angustifolia, Coreopsis palustris, and Carex pensylvanica.","dry, medium "
Packera aurea,Golden Ragwort,perennial ,https://mtcubacenter.org/plants/golden-ragwort/,adaptable ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Packera_aurea_1.jpg,"Golden ragwort is an easily grown garden plant with large clusters of yellow flowers that brighten shady areas of the spring garden. The large clusters of ¾” daisy-like flowers grow on stems 1-3’ above basal leaves. The foliage forms an effective groundcover in shady, moist to dry woodlands. The plants spread readily by seed and underground roots, forming large colonies. Golden ragwort can grow in the woodland garden or a shady perennial border among Eurybia divaricata, Polystichum acrostichoides, Dryopteris marginalis, Amsonia tabernaemontana and Phacelia bipinnatifida.","average, dry, moist "
Orontium aquaticum,Golden-Club,perennial ,https://mtcubacenter.org/plants/golden-club/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Orontium_aquaticum_1.jpg,"Broad waterproof leaves and golden club-like spiked flowers make Orontium aquaticum an attractive plant against the backdrop of a native water garden. In early spring, the attractive spadix that bares yellow flowers stands out and blooms for at least two weeks. The leaves float on or emerge from just below the surface of shallow waters to reach a height of 12?.  The attractive blue-green foliage of Orontium aquaticum provides continuous interest throughout the growing season on the edge of a pond or in a wet situation. It makes a good companion for other wetlands species including Iris versicolor, Caltha palustris, Woodwardia areolata, Osmundastrum cinnamomeum and Itea virginica.","moist, wet "
Calopogon tuberosus,Grass-Pink,perennial ,https://mtcubacenter.org/plants/grass-pink/,acidic ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Calopogon_tuberosus_1.jpg,"Grass-pink is a delightful orchid that has a graceful, willowy stem up to 18” tall, bearing multiple pinkish-magenta, sweet smelling flowers with gold and white “beards” at each tip. The leaves, originating from a corm, are narrow, grass-like and appear with the flowers in early summer. Grass-pink thrives in acidic soil whether it be a wet sunny meadow or a bog garden. Nursery propagated plants are now available for gardeners. Companion plants include Helonias bullata, Spiranthes odorata, Lysimachia terrestris, Sabatia kennedyana, Vaccinium macrocarpon, Thelypteris palustris, Woodwardia areolata, and carnivorous plants such as Dionaea muscipula and Sarracenia spp.","moist, wet "
Lobelia siphilitica,Great Blue Lobelia,perennial ,https://mtcubacenter.org/plants/great-blue-lobelia/,"acidic, adaptable ","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Lobelia_siphilitica_1.jpg,"This native perennial heralds the end of summer. Its showy, blue flowers, borne on a 1-3’ tall stems, are a must for the naturalized garden. Great blue lobelia flourishes in moist soil with filtered shade but will adapt to drier conditions with more shade. This herbaceous plant is easy to grow from seed and frequently self-sows. Lanceolate serrated leaves alternate along the stem, culminating into tiny bracts amidst the bell shaped blooms. Lobelia siphilitica is tolerant of acid to neutral conditions. Grow great blue lobelia with Eurybia divaricata, Chelone obliqua, and Eutrochium fistulosum as they enjoy the same cultural conditions and will provide varying heights in the perennial border.","average, dry, moist, wet "
Coreopsis major,Greater Tickseed,perennial ,https://mtcubacenter.org/plants/greater-tickseed/,adaptable ,"filtered-shade, full-sun ",,"Greater tickseed is a dependable, easy-to-grow perennial. Bright yellow flowers add a sunny splash of color to the garden for a long time during summer and early fall. Long, graceful stems grow to 3’ tall and are wrapped in beautifully whorled foliage. The first bright blossoms, coveted by bees and butterflies, open in late spring. Seeds of the spent flowers provide food for birds. Greater tickseed appreciates a setting in full sun to filtered shade with average garden soil and is drought tolerant once established. It combines well with the complimentary colors of many asters and with perennials like Liatris spicata and Vernonia noveboracensis. Planting it with native grasses also adds textural interest to the garden.","average, dry, moist "
Sarracenia oreophila,Green Pitcher Plant,perennial ,https://mtcubacenter.org/plants/green-pitcher-plant/,acidic ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Sarracenia_oreophila_1.jpg,"For gardeners who enjoy the curious or are wild about carnivorous plants, Sarracenia oreophila is a perfect garden candidate. This rare native plant of the south is easy to grow in acid boggy conditions. Yellow flowers open in June on tall stems. The green tall “pitchers” grow to about 18” tall. Once the “pitchers” have fallen over in late autumn, the stalks can be cut back. In fall, new leaves called phyllodia emerge and turn a maroon red color which lasts through the winter, giving this plant a multi-seasonal interest. Companions for green pitcher plant include Helonias bullata, Woodwardia virginica, Rhexia virginica, and Andromeda polifolia.","moist, wet "
Chrysogonum virginianum,Green-and-Gold,perennial ,https://mtcubacenter.org/plants/green-and-gold/,"adaptable, alkaline ","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Chrysogonum_virginianum_3.jpg,"Green-and-gold is a marvelous semi-evergreen perennial groundcover that enlivens the garden with delightful masses of small, daisy-like yellow flowers during spring and then sporadically throughout the summer. Chrysogonum virginianum also serves as a foundation for other plants from woodland settings to pond edges or rock gardens. It performs well in shade to part sun and well-drained soils that are acidic to neutral. As a companion, green-and-gold is quite versatile and works well with a wide array of plants including Spigelia marilandica, Aquilegia canadensis, Cypripedium parviflorum, Tiarella cordifolia, Gentiana clausa and Dodecatheon meadia.","average, moist "
